Latitude;Longitude;Time;Date;Number of Sats;GPS Speed (Kn);GPS True Heading;GPS Magnetic Variation;HDOP;C Magnetic Heading;C True Heading;Pitch Angle;Roll Angle;C Inside Temp (c);DFS Depth (m);DTB Height (m);Total Water Column (m);Batt Percent;Power Watts;Watt-Hours;Batt Volts;Batt Ampers;Batt State;Time to Empty;Current Step;Dist To Next (m);Next Speed (kn);Vehicle Speed (kn);Motor Speed CMD;Next Heading;Next Long;Next Lat;Next Depth (m);Depth Goal (m);Vehicle State;Error State;Fin Pitch R;Fin Pitch L;Pitch Goal;Fin Yaw T;Fin Yaw B;Yaw Goal;Fin Roll;
33.8662483333333;-112.294205;16:16:36.27;8/16/2011;9;0.2;335.87;11.0837907782978;0;2.4;13.4837907782979;5.1;-1.8;36.8;.00;.94;.94;78;19;362.0;14.1;-1.3;D;1078.7;0;60.436;1;1;128;22.07507;-112.293959;33.866752;0;0;1;N;128;128;5;172;172;22.07507;0;
33.8662517911185;-112.29420445535;16:16:37.27;8/16/2011;9;0.22;328.06;11.0837907782978;0;2.9;13.9837907782979;5.1;-1.1;36.8;.02;.94;.96;78;19;362.0;14.1;-1.3;D;1078.7;0;60.061;1;1;128;22.16846;-112.293959;33.866752;0;0;1;N;128;128;5;169;169;22.07507;0;
33.8662517811032;-112.294204420553;16:16:38.27;8/16/2011;9;0.18;328.81;11.0837907782978;0;4.8;15.8837907782979;5.5;1.6;36.8;.03;.94;.97;78;19;361.9;14.1;-1.4;D;1076.4;0;60.061;1;1;165;22.16522;-112.293959;33.866752;0;0;1;N;131;131;5;195;195;22.16522;0;
33.8662544628626;-112.294205204778;16:16:39.28;8/16/2011;9;0.17;339.22;11.0837907782978;0;4.8;15.8837907782979;4.3;-1.7;36.8;.02;.97;.99;78;19;361.9;14.1;-1.4;D;1076.4;0;59.812;1;1;165;22.33722;-112.293959;33.866752;0;0;1;N;126;126;5;191;191;22.32605;0;
33.8662543358789;-112.294205742049;16:16:40.29;8/16/2011;9;0.26;356.68;11.0837907782978;0;5.3;16.3837907782979;4.6;0.2;36.9;.01;.97;.99;78;22;361.9;14.1;-1.6;D;928;0;59.844;1;1;165;22.37602;-112.293959;33.866752;0;0;1;N;126;126;5;192;192;22.36559;0;
33.8662559862985;-112.294205673069;16:16:41.29;8/16/2011;9;0.41;3;11.0837907782978;0;6.6;17.6837907782978;4.2;0;36.9;.01;1.00;1.01;78;25;361.9;14.1;-1.7;D;840.6;0;59.672;1;1;165;22.43744;-112.293959;33.866752;0;0;1;N;125;125;5;174;174;22.42914;0;
33.8662576167012;-112.294205556872;16:16:42.30;8/16/2011;9;0.55;6.5;11.0837907782978;0;8.7;19.7837907782978;4.1;-0.1;36.8;.01;1.03;1.04;78;25;361.9;14.1;-1.7;D;840.6;0;59.500;1;1;165;22.49453;-112.293959;33.866752;0;0;1;N;124;124;5;161;161;22.4897;0;
33.8662627102031;-112.29420300772;16:16:43.30;8/16/2011;9;0.69;10.27;11.0837907782978;0;10.1;21.1837907782978;3.9;-0.2;36.8;.00;1.09;1.10;78;25;361.9;14.1;-1.8;D;834;0;58.887;1;1;165;22.49378;-112.293959;33.866752;0;0;1;N;124;124;5;138;138;22.49134;0;
33.8662651892526;-112.294203294841;16:16:44.30;8/16/2011;9;0.75;13.06;11.0837907782978;0;11.3;22.3837907782979;4;-0.1;36.8;.00;1.10;1.10;78;25;361.9;14.1;-1.8;D;834;0;58.643;1;1;165;22.62075;-112.293959;33.866752;0;0;1;N;124;124;5;130;130;22.62075;0;
33.8662667110365;-112.294202471829;16:16:45.30;8/16/2011;9;0.84;12.46;11.0837907782978;0;12.3;23.3837907782979;3.7;0.4;36.8;.00;1.13;1.13;78;25;361.9;14.1;-1.8;D;831.7;0;58.457;1;1;165;22.6158;-112.293959;33.866752;0;0;1;N;123;123;5;117;117;22.6158;0;
