Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll
33.86630181,-112.2943455,53:52.2,8/16/2011,8,0.84,325.53,11.0838024,0,337.2,348.2838024,4.3,-0.2,38.7,0,3.34,3.34,81,25,371.9,14.2,-1.8,D,848.5,1,64.675,1,1,165,26.12901,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,26.12901,0
33.86630517,-112.294347,53:53.2,8/16/2011,8,0.83,329.56,11.0838024,0,342.4,353.4838024,4.3,-0.3,38.7,0,3.41,3.41,81,25,371.9,14.2,-1.8,D,848,1,64.401,1,1,165,26.38536,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,26.38536,0
33.86631036,-112.2943503,53:54.2,8/16/2011,8,0.83,334.5,11.0838024,0,347.6,358.6838024,4.3,0,38.6,0,3.47,3.47,81,25,371.9,14.2,-1.8,D,848,1,64.022,1,1,165,26.86042,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,26.86042,0
33.8663137,-112.2943516,53:55.2,8/16/2011,8,0.82,339.63,11.0838024,0,351.6,2.683802404,4.3,-0.6,38.7,0,3.53,3.53,81,26,371.9,14.2,-1.8,D,844.8,1,63.747,1,1,165,27.11174,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,27.11174,0
33.86631517,-112.2943531,53:56.2,8/16/2011,8,0.84,348.96,11.0838024,0,356.3,7.383802404,4.3,-0.3,38.7,0,3.62,3.62,81,26,371.9,14.2,-1.8,D,844.8,1,63.663,1,1,165,27.2846,-112.294037,33.866824,0,0,1,N,125,125,5,246,246,27.2846,0
33.86632198,-112.2943526,53:57.2,8/16/2011,8,0.83,353.83,11.0838024,0,1,12.0838024,4.3,-0.5,38.7,0,3.65,3.65,81,26,371.8,14.2,-1.8,D,847,1,62.969,1,1,165,27.56289,-112.294037,33.866824,0,0,1,N,125,125,5,232,232,27.56289,0
33.86632345,-112.2943528,53:58.2,8/16/2011,8,0.94,358.55,11.0838024,0,5.5,16.5838024,4.3,-0.4,38.7,0,3.68,3.68,81,26,371.8,14.2,-1.8,D,847,1,62.832,1,1,165,27.64478,-112.294037,33.866824,0,0,1,N,125,125,5,215,215,27.64478,0
33.86632843,-112.2943526,53:59.2,8/16/2011,8,0.95,3.61,11.0838024,0,7.8,18.8838024,4.2,-0.8,38.7,0,3.71,3.71,81,26,371.8,14.2,-1.8,D,846.5,1,62.337,1,1,165,27.87244,-112.294037,33.866824,0,0,1,N,125,125,5,208,208,27.87244,0
33.86633518,-112.2943517,54:00.2,8/16/2011,8,0.96,7.12,11.0838024,0,11.5,22.5838024,4.1,-0.9,38.7,0,3.71,3.71,81,26,371.8,14.2,-1.8,D,846.5,1,61.636,1,1,165,28.13097,-112.294037,33.866824,0,0,1,N,124,124,5,194,194,28.13097,0
33.86633834,-112.2943507,54:01.2,8/16/2011,8,0.98,11.08,11.0838024,0,15.6,26.6838024,4.1,-1.2,38.7,0,3.71,3.71,81,26,371.8,14.2,-1.8,D,846.5,1,61.28,1,1,165,28.20714,-112.294037,33.866824,0,0,1,N,124,124,5,179,179,28.20714,0
33.86634325,-112.2943495,54:02.2,8/16/2011,8,0.96,10.64,11.0838024,0,19.1,30.1838024,3.9,-1.3,38.8,0,3.71,3.71,81,26,371.8,14.2,-1.8,D,845.5,1,60.748,1,1,165,28.36033,-112.294037,33.866824,0,0,1,N,124,124,5,168,168,28.36033,0
33.86634823,-112.2943476,54:03.2,8/16/2011,8,0.96,14.67,11.0838024,0,21.9,32.9838024,3.8,-1.4,38.7,0,3.74,3.74,81,26,371.8,14.2,-1.8,D,845.5,1,60.176,1,1,165,28.46062,-112.294037,33.866824,0,0,1,N,123,123,5,193,193,28.46062,0
